case_id,prefix,k,next_act
1109135791,queued accepted,1,accepted
1109135791,queued accepted accepted,2,accepted
1109135791,queued accepted accepted accepted,3,completed
1109135791,queued accepted accepted accepted completed,4,[EOC]
1147898401,accepted accepted,1,accepted
1147898401,accepted accepted accepted,2,accepted
1147898401,accepted accepted accepted accepted,3,accepted
1147898401,accepted accepted accepted accepted accepted,4,completed
1147898401,accepted accepted accepted accepted accepted completed,5,[EOC]
1165554831,accepted accepted,1,accepted
1165554831,accepted accepted accepted,2,accepted
1165554831,accepted accepted accepted accepted,3,completed
1165554831,accepted accepted accepted accepted completed,4,[EOC]
1172473423,accepted accepted,1,accepted
1172473423,accepted accepted accepted,2,accepted
1172473423,accepted accepted accepted accepted,3,completed
1172473423,accepted accepted accepted accepted completed,4,[EOC]
1182640781,accepted accepted,1,queued
1182640781,accepted accepted queued,2,accepted
1182640781,accepted accepted queued accepted,3,accepted
1182640781,accepted accepted queued accepted accepted,4,accepted
1182640781,accepted accepted queued accepted accepted accepted,5,completed
1182640781,accepted accepted queued accepted accepted accepted completed,6,[EOC]
1230541365,accepted accepted,1,accepted
1230541365,accepted accepted accepted,2,accepted
1230541365,accepted accepted accepted accepted,3,accepted
1230541365,accepted accepted accepted accepted accepted,4,accepted
1230541365,accepted accepted accepted accepted accepted accepted,5,completed
1230541365,accepted accepted accepted accepted accepted accepted completed,6,[EOC]
1236817141,accepted accepted,1,queued
1236817141,accepted accepted queued,2,accepted
1236817141,accepted accepted queued accepted,3,accepted
1236817141,accepted accepted queued accepted accepted,4,accepted
1236817141,accepted accepted queued accepted accepted accepted,5,completed
1236817141,accepted accepted queued accepted accepted accepted completed,6,[EOC]
1270399977,accepted accepted,1,accepted
1270399977,accepted accepted accepted,2,queued
1270399977,accepted accepted accepted queued,3,accepted
1270399977,accepted accepted accepted queued accepted,4,queued
1270399977,accepted accepted accepted queued accepted queued,5,accepted
1270399977,accepted accepted accepted queued accepted queued accepted,6,completed
1270399977,accepted accepted accepted queued accepted queued accepted completed,7,[EOC]
1270427461,accepted accepted,1,accepted
1270427461,accepted accepted accepted,2,accepted
1270427461,accepted accepted accepted accepted,3,completed
1270427461,accepted accepted accepted accepted completed,4,[EOC]
1310231291,accepted accepted,1,completed
1310231291,accepted accepted completed,2,[EOC]
1316086072,accepted queued,1,accepted
1316086072,accepted queued accepted,2,queued
1316086072,accepted queued accepted queued,3,accepted
1316086072,accepted queued accepted queued accepted,4,accepted
1316086072,accepted queued accepted queued accepted accepted,5,queued
1316086072,accepted queued accepted queued accepted accepted queued,6,accepted
1316086072,accepted queued accepted queued accepted accepted queued accepted,7,completed
1316086072,accepted queued accepted queued accepted accepted queued accepted completed,8,[EOC]
1320604521,accepted unmatched,1,completed
1320604521,accepted unmatched completed,2,[EOC]
1322204195,queued accepted,1,accepted
1322204195,queued accepted accepted,2,queued
1322204195,queued accepted accepted queued,3,queued
1322204195,queued accepted accepted queued queued,4,accepted
1322204195,queued accepted accepted queued queued accepted,5,accepted
1322204195,queued accepted accepted queued queued accepted accepted,6,accepted
1322204195,queued accepted accepted queued queued accepted accepted accepted,7,accepted
1322204195,queued accepted accepted queued queued accepted accepted accepted accepted,8,completed
1322204195,queued accepted accepted queued queued accepted accepted accepted accepted completed,9,[EOC]
1322581861,accepted unmatched,1,completed
1322581861,accepted unmatched completed,2,[EOC]
1322980802,accepted completed,1,[EOC]
1323264491,accepted accepted,1,completed
1323264491,accepted accepted completed,2,[EOC]
1323462732,accepted accepted,1,accepted
1323462732,accepted accepted accepted,2,accepted
1323462732,accepted accepted accepted accepted,3,accepted
1323462732,accepted accepted accepted accepted accepted,4,accepted
1323462732,accepted accepted accepted accepted accepted accepted,5,accepted
1323462732,accepted accepted accepted accepted accepted accepted accepted,6,accepted
1323462732,accepted accepted accepted accepted accepted accepted accepted accepted,7,completed
1323462732,accepted accepted accepted accepted accepted accepted accepted accepted completed,8,[EOC]
1327329880,accepted accepted,1,accepted
1327329880,accepted accepted accepted,2,accepted
1327329880,accepted accepted accepted accepted,3,completed
1327329880,accepted accepted accepted accepted completed,4,[EOC]
1329451027,accepted unmatched,1,queued
